MeasureItem,Month,Year,Category,Area,MeasureItemID,CreationDate,Representativity,ProvidedValue,ProvidedValueCode
Monthly Domestic Values,5,2024,Hydro Water Reservoir,BA,B12,2024-12-06 14:45:58,100,172.14878,
Monthly Domestic Values,7,2024,Hydro Water Reservoir,BA,B12,2024-12-06 14:45:58,100,198.77911,
Monthly Domestic Values,8,2024,Hydro Water Reservoir,BA,B12,2024-12-06 14:45:58,100,175.09511,
Monthly Domestic Values,9,2024,Hydro Water Reservoir,BA,B12,2024-12-06 14:45:58,100,134.71021,
Monthly Domestic Values,1,2024,Other renewable,BA,B15,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,2,2024,Other renewable,BA,B15,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,3,2024,Other renewable,BA,B15,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,4,2024,Other renewable,BA,B15,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,5,2024,Other renewable,BA,B15,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,7,2024,Other renewable,BA,B15,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,8,2024,Other renewable,BA,B15,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,9,2024,Other renewable,BA,B15,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,1,2024,Solar,BA,B16,2024-12-06 14:45:58,100,3.17215,
Monthly Domestic Values,2,2024,Solar,BA,B16,2024-12-06 14:45:58,100,3.36354,
Monthly Domestic Values,3,2024,Solar,BA,B16,2024-12-06 14:45:58,100,4.37774,
Monthly Domestic Values,4,2024,Solar,BA,B16,2024-12-06 14:45:58,100,6.51947,
Monthly Domestic Values,5,2024,Solar,BA,B16,2024-12-06 14:45:58,100,5.45673,
Monthly Domestic Values,7,2024,Solar,BA,B16,2024-12-06 14:45:58,100,8.51152,
Monthly Domestic Values,8,2024,Solar,BA,B16,2024-12-06 14:45:58,100,10.68153,
Monthly Domestic Values,9,2024,Solar,BA,B16,2024-12-06 14:45:58,100,9.66591,
Monthly Domestic Values,1,2024,Wind Onshore,BA,B19,2024-12-06 14:45:58,100,20.01004,
Monthly Domestic Values,2,2024,Wind Onshore,BA,B19,2024-12-06 14:45:58,100,16.56956,
Monthly Domestic Values,3,2024,Wind Onshore,BA,B19,2024-12-06 14:45:58,100,15.02996,
Monthly Domestic Values,4,2024,Wind Onshore,BA,B19,2024-12-06 14:45:58,100,11.6447,
Monthly Domestic Values,5,2024,Wind Onshore,BA,B19,2024-12-06 14:45:58,100,7.50395,
Monthly Domestic Values,7,2024,Wind Onshore,BA,B19,2024-12-06 14:45:58,100,5.86272,
Monthly Domestic Values,8,2024,Wind Onshore,BA,B19,2024-12-06 14:45:58,100,6.6934,
Monthly Domestic Values,9,2024,Wind Onshore,BA,B19,2024-12-06 14:45:58,100,9.84909,
